Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,GPU,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
OnePlus,OnePlus Nord2 5G,OP515BL1,7879MB,Phone,Mediatek MT6893,9 核 ARM Mali G77 (805 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7 Pro,OP7ProNRSpr,7761MB,Phone,Qualcomm SM8150,Qualcomm Adreno 640 (585 MHz),1440x3120,560,arm64-v8a;armeabi;armeabi-v7a,29,3.2
OnePlus,X,OnePlus,3013MB,Phone,Qualcomm MSM8974AB,Qualcomm Adreno 330 (574 MHz),1080x1920,480,armeabi;armeabi-v7a,23,3.0
OnePlus,2,OnePlus2,3887MB,Phone,Qualcomm MSM8994,Qualcomm Adreno 430 (650 MHz),1080x1920,480,arm64-v8a;armeabi;armeabi-v7a,23,3.1
OnePlus,OnePlus3,OnePlus3,6017MB,Phone,Qualcomm MSM8996,Qualcomm Adreno 530 (653 MHz),1080x1920,420,arm64-v8a;armeabi;armeabi-v7a,28,3.2
OnePlus,OnePlus3T,OnePlus3T,4294MB,Tablet,Qualcomm MSM8996,Qualcomm Adreno 530 (653 MHz),900x1600,240,armeabi;armeabi-v7a;x86,25;28,3.2
OnePlus,OnePlus5,OnePlus5,4294MB,Tablet,Qualcomm MSM8998,Qualcomm Adreno 540 (650 MHz),900x1600,240,armeabi;armeabi-v7a;x86,25;28;29,3.2
OnePlus,OnePlus5T,OnePlus5T,5989MB,Phone,Qualcomm MSM8998,Qualcomm Adreno 540 (650 MHz),1080x2160,420,arm64-v8a;armeabi;armeabi-v7a,28;29,3.2
OnePlus,OnePlus 6,OnePlus6,8005MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1080x2280,450,arm64-v8a;armeabi;armeabi-v7a,28;29;30,3.2
OnePlus,OnePlus6T,OnePlus6T,8005MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1080x2340,450,arm64-v8a;armeabi;armeabi-v7a,28;29;30,3.2
OnePlus,OnePlus6T,OnePlus6TSingle,8005MB,Phone,Qualcomm SDM845,Qualcomm Adreno 630 (650 MHz),1080x2340,450,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7,OnePlus7,5740MB,Phone,Qualcomm SM8150,Qualcomm Adreno 640 (585 MHz),1080x2340,450,arm64-v8a;armeabi;armeabi-v7a,28;29;30,3.2
OnePlus,OnePlus 7 Pro,OnePlus7Pro,7836MB,Phone,Qualcomm SM8150,Qualcomm Adreno 640 (585 MHz),1440x3120,600,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7 Pro 5G,OnePlus7ProNR,7761MB,Phone,Qualcomm SM8150,Qualcomm Adreno 640 (585 MHz),1440x3120,560,arm64-v8a;armeabi;armeabi-v7a,29,3.2
OnePlus,OnePlus 7 Pro,OnePlus7ProTMO,7836MB,Phone,Qualcomm SM8150,Qualcomm Adreno 640 (585 MHz),1440x3120,600,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7T,OnePlus7T,7836MB,Phone,Qualcomm SM8150P,Qualcomm Adreno 640 (675 MHz),1080x2400,450,arm64-v8a;armeabi;armeabi-v7a,29;30,3.2
OnePlus,OnePlus 7T Pro,OnePlus7TPro,7836MB,Phone,Qualcomm SM8150P,Qualcomm Adreno 640 (675 MHz),1440x3120,600,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7T Pro 5G,OnePlus7TProNR,12119MB,Phone,Qualcomm SM8150P,Qualcomm Adreno 640 (675 MHz),1440x3120,600,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 7T,OnePlus7TTMO,7836MB,Phone,Qualcomm SM8150P,Qualcomm Adreno 640 (675 MHz),1080x2400,450,arm64-v8a;armeabi;armeabi-v7a,30,3.2
OnePlus,OnePlus 8,OnePlus8,7894MB,Phone,Qualcomm SM8250,Qualcomm Adreno 650 (587 MHz),1080x2400,480,arm64-v8a;armeabi;armeabi-v7a,30;31,3.2
OnePlus,OnePlus 8 Pro,OnePlus8Pro,4294MB,Phone,Qualcomm SM8250,Qualcomm Adreno 650 (587 MHz),720x1280,240,armeabi;armeabi-v7a;x86,22;25;30;31,3.2
